year,state,minimumage,MDH,uer,CigC,taxstr,MA,Edu
2014,Oklahoma,18,50113,4.5,64.300003,1.03,No,24.200001
2013,Oklahoma,No Provision,49841,5.3000002,67.199997,1.03,No,23.799999
2012,Oklahoma,No Provision,53040,5.1999998,71.300003,1.03,No,23.799999
2011,Oklahoma,No Provision,54217,5.9000001,71,1.03,No,23.799999
2010,Oklahoma,No Provision,49749,6.8000002,71.199997,1.03,No,22.9
2009,Oklahoma,No Provision,53825,6.4000001,79,1.03,No,22.700001
2008,Oklahoma,No Provision,53910,3.7,86.699997,1.03,No,22.200001
2007,Oklahoma,No Provision,52466,4.0999999,85.800003,1.03,.,22.799999
2018,Oregon,21,69165,4.1999998,37.200001,1.33,Yes,34
2017,Oregon,18,64021,4.0999999,38.299999,1.32,Yes,33.700001
2016,Oregon,18,61879,4.8000002,40,1.32,No,32.700001
2015,Oregon,18,64478,5.5999999,40.5,1.31,No,32.200001
2014,Oregon,No Provision,62509,6.8000002,41.400002,1.31,No,30.799999
2013,Oregon,No Provision,52905,7.9000001,43.299999,1.18,No,30.700001
2012,Oregon,No Provision,56730,8.8000002,44.700001,1.18,No,29.9
2011,Oregon,No Provision,57653,9.5,47,1.18,No,29.299999
2010,Oregon,No Provision,58404,10.6,44.700001,1.18,Yes,28.799999
2009,Oregon,No Provision,57603,11.3,48.400002,1.18,Yes,29.200001
2008,Oregon,No Provision,60476,6.5,50.400002,1.18,Yes,28.1
2007,Oregon,No Provision,60989,5.1999998,55.5,1.18,.,28.299999
2018,Pennsylvania,No Provision,64524,4.3000002,37.799999,2.6,No,31.799999
2017,Pennsylvania,No Provision,62779,4.9000001,40.5,2.6,No,31.4
2016,Pennsylvania,No Provision,63809,5.4000001,48.200001,2.6,No,30.799999
2015,Pennsylvania,No Provision,64006,5.3000002,48.5,1.6,Yes,29.700001
2014,Pennsylvania,No Provision,58579,5.9000001,50.799999,1.6,Yes,29
2013,Pennsylvania,No Provision,59552,7.4000001,52.799999,1.6,Yes,28.700001
2012,Pennsylvania,No Provision,56871,7.8000002,55,1.6,Yes,27.799999
2011,Pennsylvania,No Provision,55845,7.9000001,56.400002,1.6,Yes,27
2010,Pennsylvania,No Provision,55763,8.5,57,1.6,Yes,27.1
2009,Pennsylvania,No Provision,56517,8,59.200001,1.6,Yes,26.4
2008,Pennsylvania,No Provision,60096,5.3000002,61.400002,1.35,Yes,26.299999
2007,Pennsylvania,No Provision,58805,4.4000001,60.799999,1.35,.,25.799999
2018,Rhode Island,18,62266,4.0999999,31.4,4.25,Yes,34.400002
2017,Rhode Island,18,66995,4.4000001,34.200001,4.25,No,33.5
2016,Rhode Island,18,64383,5.1999998,35.200001,3.75,No,34.099998
2015,Rhode Island,18,59038,6,36.799999,3.75,No,32.700001
2014,Rhode Island,No Provision,62252,7.6999998,36.700001,3.5,No,30.4
2013,Rhode Island,No Provision,60812,9.3000002,35.299999,3.5,No,32.400002
2012,Rhode Island,No Provision,61431,10.4,35.799999,3.5,No,31.4
2011,Rhode Island,No Provision,54864,11,36.299999,3.46,No,31.1
2010,Rhode Island,No Provision,59582,11.2,37.099998,3.46,No,30.200001
2009,Rhode Island,No Provision,60578,11,44.700001,3.46,No,30.5
2008,Rhode Island,No Provision,62246,7.8000002,43.599998,2.46,No,30
2007,Rhode Island,No Provision,65814,5.1999998,45.299999,2.46,.,29.799999
2018,South Carolina,18,57444,3.4000001,53.099998,.57,Yes,28.299999
2017,South Carolina,18,55866,4.3000002,55.5,.57,Yes,28
2016,South Carolina,18,56858,5,57.299999,.57,No,27.200001
2015,South Carolina,18,49137,6,56.099998,.57,No,26.799999
2014,South Carolina,18,47702,6.5,58.900002,.57,No,26.299999
2013,South Carolina,18,47035,7.5999999,62,.57,No,26.1
2012,South Carolina,No Provision,48650,9.1999998,61.900002,.57,No,25.1
2011,South Carolina,No Provision,44850,10.6,69.900002,.57,No,24.1
2010,South Carolina,No Provision,48127,11.2,84.5,.57,No,24.5
2009,South Carolina,No Provision,48221,11.2,85,.07,No,24.299999
2008,South Carolina,No Provision,49285,6.8000002,89.099998,.07,No,23.700001
2007,South Carolina,No Provision,53677,5.6999998,91.199997,.07,.,23.5
2018,South Dakota,18,59463,3,40.200001,1.53,No,29.200001
2017,South Dakota,18,58301,3.2,41.599998,1.53,No,28.1
2016,South Dakota,18,60116,3,44.599998,1.53,No,28.9
2015,South Dakota,18,58364,3.0999999,40.700001,1.53,No,27.5
2014,South Dakota,18,56328,3.4000001,42.299999,1.53,No,27.799999
2013,South Dakota,No Provision,57670,3.8,42.700001,1.53,No,26.6
2012,South Dakota,No Provision,54144,4.3000002,42.799999,1.53,No,26.299999
2011,South Dakota,No Provision,52838,4.6999998,43.799999,1.53,No,26.299999
2010,South Dakota,No Provision,52344,5,48.599998,1.53,No,26.299999
2009,South Dakota,No Provision,53764,4.9000001,49.700001,1.53,No,25.1
2008,South Dakota,No Provision,60328,3.0999999,49.5,1.53,No,25.1
2007,South Dakota,No Provision,56354,2.8,58.5,1.53,.,25
2018,Tennessee,18,56060,3.5,56,.62,No,27.5
2017,Tennessee,18,56654,3.8,59.200001,.62,No,27.299999
2016,Tennessee,18,53727,4.6999998,61.599998,.62,No,26.1
2015,Tennessee,18,50165,5.5999999,62.200001,.62,No,25.700001
2014,Tennessee,18,46415,6.5999999,62.599998,.62,No,25.299999
2013,Tennessee,18,46817,7.8000002,66.199997,.62,No,24.799999
2012,Tennessee,18,47110,7.8000002,68.300003,.62,No,24.299999
2011,Tennessee,18,47306,9,71.699997,.62,No,23.6
2010,Tennessee,No Provision,44541,9.6999998,72.599998,.62,No,23.1
2009,Tennessee,No Provision,47535,10.5,77,.62,No,23
2008,Tennessee,No Provision,46417,6.5999999,69.5,.62,No,22.9
2007,Tennessee,No Provision,50013,4.6999998,107.4,.62,.,21.799999
2018,Texas,18,59785,3.9000001,29.1,1.41,No,30.299999
2017,Texas,18,61557,4.3000002,31.9,1.41,No,29.6
2016,Texas,18,60844,4.5999999,32.799999,1.41,No,28.9
2015,Texas,18,59856,4.4000001,33.799999,1.41,No,28.4
2014,Texas,No Provision,57201,5.0999999,33.700001,1.41,No,27.799999
2013,Texas,No Provision,55503,6.3000002,36.200001,1.41,No,27.5
2012,Texas,No Provision,56896,6.6999998,36.700001,1.41,No,26.700001
2011,Texas,No Provision,54879,7.8000002,38.700001,1.41,No,26.4
2010,Texas,No Provision,54554,8.1000004,38.200001,1.41,No,25.9
2009,Texas,No Provision,55699,7.5999999,42.299999,1.41,No,25.5
2008,Texas,No Provision,54353,4.8000002,43.900002,1.41,No,25.299999
2007,Texas,No Provision,55911,4.3000002,49.299999,1.41,.,25.200001
2018,Utah,19,77067,3.0999999,17.1,1.7,No,34.900002
2017,Utah,19,71490,3.3,18.4,1.7,No,34.599998
2016,Utah,19,70613,3.4000001,18.5,1.7,No,32.599998
2015,Utah,19,70227,3.5999999,20,1.7,No,31.799999
2014,Utah,19,67296,3.8,19.5,1.7,No,31.1
2013,Utah,19,65913,4.5999999,21.4,1.7,No,31.299999
2012,Utah,19,63924,5.4000001,23,1.7,No,30.700001
2011,Utah,19,62092,6.6999998,22.299999,1.7,No,29.700001
2010,Utah,19,65443,7.8000002,26.700001,1.7,No,29.299999
2009,Utah,No Provision,68623,7.3000002,27.6,.695,No,28.5
2008,Utah,No Provision,73115,3.5999999,31.299999,.695,No,29.1
2007,Utah,No Provision,64987,2.5999999,32.900002,.695,.,28.700001
2018,Virginia,18,77151,3,55.700001,.3,No,39.299999
2017,Virginia,18,72537,3.7,60.799999,.3,No,38.700001
2016,Virginia,18,69535,4.0999999,63.599998,.3,No,38.099998
2015,Virginia,18,65169,4.5,66.099998,.3,No,37
2014,Virginia,18,70239,5.1999998,67,.3,No,36.700001
2013,Virginia,No Provision,71160,5.6999998,69.400002,.3,No,36.099998
2012,Virginia,No Provision,70818,6.0999999,72.400002,.3,No,35.5
2011,Virginia,No Provision,70062,6.5999999,67.099998,.3,No,35.099998
2010,Virginia,No Provision,69675,7.0999999,68.900002,.3,No,34.200001
2009,Virginia,No Provision,70981,6.6999998,73.400002,.3,No,34
2008,Virginia,No Provision,72469,3.9000001,73.599998,.3,No,33.700001
2007,Virginia,No Provision,71824,3,76.099998,.3,,33.599998
2018,Vermont,18,70066,2.7,32.799999,3.08,No,38.700001
2017,Vermont,18,65234,3,36.299999,3.08,No,38.299999
2016,Vermont,18,63660,3.2,37.400002,3.08,Yes,36.400002
2015,Vermont,18,63058,3.5999999,40.400002,3.08,Yes,36.900002
2014,Vermont,18,64455,3.9000001,40.400002,2.75,Yes,34.900002
2013,Vermont,18,70735,4.4000001,42.099998,2.62,No,35.700001
2012,Vermont,No Provision,60901,5,45.700001,2.62,No,35.799999
2011,Vermont,No Provision,58029,5.5,48.700001,2.62,No,35.400002
2010,Vermont,No Provision,64551,6.0999999,47.700001,2.24,No,33.599998
2009,Vermont,No Provision,61381,6.5999999,48.900002,2.24,No,33.099998
2008,Vermont,No Provision,59283,4.6999998,51.599998,1.99,No,32.099998
2007,Vermont,No Provision,57534,4,54.5,1.79,.,33.599998
2018,Washington,18,79726,4.5,16.1,3.025,No,36.700001
2017,Washington,18,73284,4.6999998,17,3.025,No,35.5
2016,Washington,18,73573,5.3000002,18,3.025,No,35.099998
2015,Washington,18,71271,5.5999999,18.799999,3.025,No,34.200001
2014,Washington,18,62714,6.0999999,18.6,3.025,No,33.099998
2013,Washington,18,69017,7,19.5,3.025,No,32.700001
2012,Washington,No Provision,68139,8.1000004,20.299999,3.025,No,31.700001
2011,Washington,No Provision,63610,9.3000002,21.700001,3.025,No,31.9
2010,Washington,No Provision,64822,10,25.6,3.025,No,31.1
2009,Washington,No Provision,70853,9.1999998,30.1,2.025,No,31
2008,Washington,No Provision,66210,5.4000001,31.9,2.025,No,30.700001
2007,Washington,No Provision,70512,4.6999998,32.400002,2.025,.,30.299999
2018,Wisconsin,18,62629,3,37.200001,2.52,Yes,30
2017,Wisconsin,18,65029,3.3,39,2.52,No,30.4
2016,Wisconsin,18,62593,4,39.700001,2.52,No,29.5
2015,Wisconsin,18,58745,4.5999999,39.5,2.52,No,28.4
2014,Wisconsin,18,61665,5.4000001,39.900002,2.52,No,28.4
2013,Wisconsin,18,55849,6.6999998,39.799999,2.52,No,27.700001
2012,Wisconsin,18,58159,7,41.200001,2.52,No,27.1
2011,Wisconsin,No Provision,58248,7.8000002,42.5,2.52,No,26.5
2010,Wisconsin,No Provision,58114,8.6999998,48.200001,2.52,No,26.299999
2009,Wisconsin,No Provision,60112,8.6000004,55.299999,2.52,No,25.700001
2008,Wisconsin,No Provision,59860,4.9000001,66.699997,1.77,No,25.700001
2007,Wisconsin,No Provision,62253,4.9000001,69.699997,.77,.,25.4
2018,West Virginia,18,50573,5.3000002,75.699997,1.2,No,21.299999
2017,West Virginia,18,48102,5.1999998,82.199997,1.2,No,20.200001
2016,West Virginia,18,46412,6.0999999,95.5,1.2,No,20.799999
2015,West Virginia,18,45389,6.6999998,97.300003,.55,No,19.6
2014,West Virginia,18,41993,6.5999999,97.400002,.55,No,19.200001
2013,West Virginia,No Provision,46502,6.8000002,103.1,.55,No,18.9
2012,West Virginia,No Provision,47721,7.5,105,.55,No,18.6
2011,West Virginia,No Provision,46794,8.1000004,107.9,.55,No,18.5
2010,West Virginia,No Provision,49372,8.6999998,113,.55,No,17.5
2009,West Virginia,No Provision,47504,7.6999998,115.8,.55,No,17.299999
2008,West Virginia,No Provision,44420,4.3000002,112.8,.55,No,17.1
2007,West Virginia,No Provision,51101,4.5999999,110.5,.55,.,17.299999
2018,Wyoming,18,62539,4.0999999,50.400002,.6,No,26.9
2017,Wyoming,18,60987,4.1999998,52.400002,.6,No,27.6
2016,Wyoming,18,60513,5.3000002,54.599998,.6,No,27.1
2015,Wyoming,18,64575,4.3000002,58.599998,.6,No,26.200001
2014,Wyoming,18,59128,4.0999999,56.400002,.6,No,26.6
2013,Wyoming,18,72817,4.6999998,60.799999,.6,No,26.6
2012,Wyoming,No Provision,63016,5.3000002,61.5,.6,No,24.700001
2011,Wyoming,No Provision,60991,5.8000002,70.5,.6,No,24.700001
2010,Wyoming,No Provision,60249,6.4000001,65.699997,.6,No,24.1
2009,Wyoming,No Provision,61559,6.3000002,76.699997,.6,No,23.799999
2008,Wyoming,No Provision,62359,3.0999999,79,.6,No,23.6
2007,Wyoming,No Provision,59178,2.8,83,.6,.,23.4
