	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	vote2011_1st	vote2011_1st	vote2011_1st	vote2011_2nd	vote2011_2nd	vote2011_2nd	vote2011_av	vote2011_av	vote2011_av
									
actvar	-0.004	-0.005	-0.006	-0.021	-0.014	-0.017	-0.012	-0.009	-0.011
	(0.026)	(0.027)	(0.027)	(0.028)	(0.029)	(0.029)	(0.024)	(0.025)	(0.024)
gender	0.050***	0.057***	0.046**	0.054***	0.053***	0.043**	0.052***	0.055***	0.044***
	(0.018)	(0.018)	(0.018)	(0.019)	(0.019)	(0.019)	(0.016)	(0.016)	(0.016)
actualtreatment	0.020	0.024	0.026	0.009	0.016	0.021	0.014	0.020	0.023
	(0.022)	(0.021)	(0.021)	(0.023)	(0.022)	(0.022)	(0.020)	(0.019)	(0.019)
Constant	0.230***	0.976***	0.257	0.294***	0.000	-0.090	0.262***	0.500***	0.084
	(0.015)	(0.021)	(0.183)	(0.016)	(0.000)	(0.204)	(0.014)	(0.000)	(0.175)
									
Observations	3,579	3,579	3,579	3,578	3,578	3,578	3,578	3,578	3,578
R-squared	0.003	0.087	0.118	0.002	0.074	0.105	0.003	0.079	0.116
