	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av
									
actvar	0.016	0.020	0.019	0.018	0.018	0.015	0.017	0.019	0.017
	(0.024)	(0.024)	(0.024)	(0.024)	(0.025)	(0.024)	(0.021)	(0.022)	(0.021)
gender	0.041**	0.048***	0.040**	0.035**	0.040**	0.030*	0.038**	0.044***	0.035**
	(0.016)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)
actualtreatment	0.036*	0.025	0.030	0.021	0.019	0.026	0.028	0.022	0.028
	(0.021)	(0.019)	(0.019)	(0.021)	(0.020)	(0.019)	(0.019)	(0.018)	(0.017)
Constant	0.310***	-0.048***	0.355**	0.372***	-0.040**	0.049	0.341***	-0.044***	0.202
	(0.014)	(0.016)	(0.181)	(0.013)	(0.017)	(0.181)	(0.012)	(0.015)	(0.168)
									
Observations	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747
R-squared	0.005	0.096	0.114	0.003	0.088	0.116	0.005	0.094	0.121
