	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av
																																				
actvar	0.025	0.023	0.020	0.024	0.018	0.013	0.024	0.020	0.017	0.025	0.023	0.020	0.024	0.018	0.013	0.024	0.020	0.017	0.025	0.023	0.020	0.024	0.018	0.013	0.024	0.020	0.017	0.025	0.023	0.020	0.024	0.018	0.013	0.024	0.020	0.017
	(0.026)	(0.026)	(0.025)	(0.026)	(0.026)	(0.026)	(0.023)	(0.023)	(0.023)	(0.026)	(0.026)	(0.025)	(0.026)	(0.026)	(0.026)	(0.023)	(0.023)	(0.023)	(0.026)	(0.026)	(0.025)	(0.026)	(0.026)	(0.026)	(0.023)	(0.023)	(0.023)	(0.026)	(0.026)	(0.025)	(0.026)	(0.026)	(0.026)	(0.023)	(0.023)	(0.023)
actualtreatment	0.028	0.016	0.023	0.007	0.005	0.015	0.017	0.010	0.019	0.028	0.016	0.023	0.007	0.005	0.015	0.017	0.010	0.019	0.028	0.016	0.023	0.007	0.005	0.015	0.017	0.010	0.019	0.028	0.016	0.023	0.007	0.005	0.015	0.017	0.010	0.019
	(0.023)	(0.020)	(0.019)	(0.023)	(0.020)	(0.020)	(0.021)	(0.018)	(0.018)	(0.023)	(0.020)	(0.019)	(0.023)	(0.020)	(0.020)	(0.021)	(0.018)	(0.018)	(0.023)	(0.020)	(0.019)	(0.023)	(0.020)	(0.020)	(0.021)	(0.018)	(0.018)	(0.023)	(0.020)	(0.019)	(0.023)	(0.020)	(0.020)	(0.021)	(0.018)	(0.018)
gender	0.036**	0.047***	0.039**	0.033*	0.040**	0.031*	0.035**	0.044***	0.035**	0.036**	0.047***	0.039**	0.033*	0.040**	0.031*	0.035**	0.044***	0.035**	0.036**	0.047***	0.039**	0.033*	0.040**	0.031*	0.035**	0.044***	0.035**	0.036**	0.047***	0.039**	0.033*	0.040**	0.031*	0.035**	0.044***	0.035**
	(0.017)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)	(0.017)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)	(0.017)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)	(0.017)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)
Constant	0.314***	0.346***	-0.240	0.378***	0.350***	-0.518***	0.346***	0.348***	-0.379**	0.314***	0.346***	-0.240	0.378***	0.350***	-0.518***	0.346***	0.348***	-0.379**	0.314***	0.346***	-0.240	0.378***	0.350***	-0.518***	0.346***	0.348***	-0.379**	0.314***	0.346***	-0.240	0.378***	0.350***	-0.518***	0.346***	0.348***	-0.379**
	(0.015)	(0.010)	(0.170)	(0.014)	(0.011)	(0.171)	(0.013)	(0.009)	(0.158)	(0.015)	(0.010)	(0.170)	(0.014)	(0.011)	(0.171)	(0.013)	(0.009)	(0.158)	(0.015)	(0.010)	(0.170)	(0.014)	(0.011)	(0.171)	(0.013)	(0.009)	(0.158)	(0.015)	(0.010)	(0.170)	(0.014)	(0.011)	(0.171)	(0.013)	(0.009)	(0.158)
																																				
Observations	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747
R-squared	0.005	0.096	0.114	0.003	0.088	0.116	0.005	0.094	0.121	0.005	0.096	0.114	0.003	0.088	0.116	0.005	0.094	0.121	0.005	0.096	0.114	0.003	0.088	0.116	0.005	0.094	0.121	0.005	0.096	0.114	0.003	0.088	0.116	0.005	0.094	0.121
