	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	vote2011_1st	vote2011_1st	vote2011_1st	vote2011_2nd	vote2011_2nd	vote2011_2nd	vote2011_av	vote2011_av	vote2011_av
									
actvar	0.005	0.002	0.000	-0.020	-0.013	-0.017	-0.007	-0.005	-0.008
	(0.029)	(0.029)	(0.028)	(0.030)	(0.031)	(0.030)	(0.026)	(0.026)	(0.026)
actualtreatment	0.008	0.009	0.014	0.008	0.007	0.014	0.008	0.008	0.014
	(0.025)	(0.022)	(0.022)	(0.026)	(0.023)	(0.023)	(0.023)	(0.020)	(0.020)
gender	0.046**	0.054***	0.043**	0.053***	0.053***	0.043**	0.050***	0.054***	0.043***
	(0.019)	(0.019)	(0.018)	(0.019)	(0.019)	(0.019)	(0.017)	(0.017)	(0.016)
Constant	0.235***	0.111	-0.549***	0.294***	0.067	-0.596***	0.265***	0.089	-0.572***
	(0.016)	(0.077)	(0.184)	(0.017)	(0.063)	(0.179)	(0.015)	(0.066)	(0.172)
									
Observations	3,579	3,579	3,579	3,578	3,578	3,578	3,578	3,578	3,578
R-squared	0.003	0.087	0.117	0.002	0.074	0.105	0.003	0.079	0.116
