	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Delaware	No Kentucky	No Minnesota	No Massachussets	All Excluded
					
MLSA_law	-0.957	-0.948	-1.328*	-1.003	-1.193**
	(0.657)	(0.701)	(0.778)	(0.762)	(0.581)
taxstr	-2.636***	-2.866***	-2.439***	-2.676***	-2.556***
	(0.606)	(0.646)	(0.761)	(0.705)	(0.566)
uer	0.00297	-0.191	0.0148	-0.0412	-0.101
	(0.222)	(0.238)	(0.261)	(0.259)	(0.194)
mdh	9.74e-05	6.06e-05	0.000110	0.000100	6.64e-05
	(6.33e-05)	(6.72e-05)	(7.39e-05)	(7.30e-05)	(5.56e-05)
edu	0.515	0.699**	0.663*	0.658*	0.560**
	(0.320)	(0.338)	(0.369)	(0.368)	(0.277)
MD1	0.574	1.552**	0.770	0.796	1.298**
	(0.687)	(0.754)	(0.802)	(0.801)	(0.610)
Constant	44.32***	42.42***	40.99***	41.94***	43.81***
	(8.735)	(9.342)	(10.10)	(10.11)	(7.601)
					
Observations	542	542	542	553	520
R-squared	0.749	0.729	0.705	0.707	0.785
Number of id	50	50	50	51	48
r2_o	0.0318	0.0261	0.00962	0.0161	0.0331
r2_b	0.0471	0.0474	0.108	0.0839	0.0375
r2_w	0.749	0.729	0.705	0.707	0.785
F	88.89	80.02	70.96	73.32	104.2
F_f	140.0	125.8	120.0	117.8	167.0
rho	0.968	0.962	0.961	0.960	0.973
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
