	(1)	(2)	(3)	(4)	(5)
VARIABLES	Model 1	Model 2	Model 3	Model 4	Model 5
					
MLSA_law	-1.406	-1.503	-1.375	-1.403	-1.003
	(0.974)	(0.971)	(0.971)	(0.973)	(0.762)
taxstr		-1.776**	-1.888**	-1.831**	-2.676***
		(0.795)	(0.795)	(0.802)	(0.705)
uer			-0.187	-0.193	-0.0412
			(0.326)	(0.327)	(0.259)
mdh			0.000186**	0.000200**	0.000100
			(8.94e-05)	(9.33e-05)	(7.30e-05)
edu				-0.251	0.658*
				(0.458)	(0.368)
MD1					0.796
					(0.801)
Constant	67.54***	69.44***	59.01***	64.91***	41.94***
	(0.838)	(1.191)	(5.940)	(12.27)	(10.11)
					
Observations	612	612	612	612	553
R-squared	0.656	0.660	0.663	0.663	0.707
Number of id	51	51	51	51	51
r2_o	0.115	0.198	0.141	0.203	0.0161
r2_b	0.000361	0.383	0.0521	0.307	0.0839
r2_w	0.656	0.660	0.663	0.663	0.707
F	87.40	81.65	71.50	66.97	73.32
F_f	150.5	98.52	95.54	88.68	117.8
rho	0.926	0.920	0.925	0.920	0.960
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
